airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-06,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Indigo,2019-04-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5644
Goair,2019-06-27,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4525
Air India,2019-05-09,Delhi,Cochin,07:05:00,07:40:00,1475,2.0,No Info,13547
Indigo,2019-05-18,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,7191
Indigo,2019-04-12,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Air India,2019-05-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3625
Air India,2019-03-24,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,10493
Indigo,2019-05-03,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,9663
Indigo,2019-03-06,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No Info,14871
Air India,2019-05-27,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10493
Indigo,2019-04-01,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,5699
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6147
Air India,2019-06-09,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,12723
Spicejet,2019-03-24,Kolkata,Banglore,15:55:00,21:15:00,320,1.0,No Info,10654
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,22270
Indigo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,14871
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,12898
Goair,2019-06-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Spicejet,2019-05-24,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,22:35:00,1610,1.0,In-flight meal not included,10031
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,14151
Jet Airways,2019-05-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Indigo,2019-03-15,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No Info,8033
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,11848
Indigo,2019-05-27,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,5636
Indigo,2019-04-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,In-flight meal not included,8834
Jet Airways,2019-03-03,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No Info,17234
Indigo,2019-06-01,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,6628
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Vistara,2019-05-18,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Multiple Carriers,2019-06-15,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,No Info,15764
Jet Airways,2019-06-24,Delhi,Cochin,08:00:00,19:00:00,660,1.0,1 Long layover,18581
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,No Info,14388
Jet Airways,2019-03-06,Delhi,Cochin,23:05:00,19:45:00,1240,1.0,No Info,17024
Air Asia,2019-05-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,In-flight meal not included,11150
Air Asia,2019-06-03,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No Info,11410
Jet Airways,2019-05-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,6144
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,No Info,13817
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6253
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,12242
Goair,2019-03-09,Banglore,New Delhi,15:50:00,20:15:00,265,1.0,No Info,7657
Multiple Carriers,2019-05-15,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13727
Spicejet,2019-05-15,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Indigo,2019-03-21,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,8285
Air India,2019-06-15,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,No Info,10231
Indigo,2019-05-15,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,10539
Indigo,2019-06-03,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Jet Airways,2019-05-18,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12373
Indigo,2019-04-09,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,9526
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,4439
Vistara,2019-06-03,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,No Info,19225
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,09:30:00,1475,1.0,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,16:10:00,490,1.0,No Info,22270
Indigo,2019-06-09,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,12242
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,14151
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,10197
Indigo,2019-04-09,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Indigo,2019-06-06,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Air Asia,2019-03-27,Delhi,Cochin,16:45:00,22:15:00,330,1.0,No Info,6151
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Jet Airways,2019-03-27,Delhi,Cochin,05:25:00,18:50:00,805,2.0,In-flight meal not included,9254
Indigo,2019-05-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3943
Spicejet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Goair,2019-04-15,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Indigo,2019-03-09,Delhi,Cochin,02:05:00,07:10:00,305,1.0,No Info,10482
Jet Airways,2019-06-24,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,18581
Jet Airways,2019-05-18,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Spicejet,2019-05-06,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,2175
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,14343
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-03,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Indigo,2019-03-06,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4778
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13731
Spicejet,2019-03-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3384
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,13014
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Air India,2019-05-27,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,9719
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1.0,In-flight meal not included,11134
Multiple Carriers,2019-05-18,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,10197
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,14714
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Indigo,2019-06-18,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Spicejet,2019-03-15,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,2753
Goair,2019-04-15,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Air India,2019-03-03,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,8666
Multiple Carriers,2019-05-09,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,8266
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9135
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,9930
Multiple Carriers,2019-05-09,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7670
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10348
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,6637
Jet Airways,2019-06-09,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,No Info,14388
Indigo,2019-03-21,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,4777
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,Business class,62427
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,No Info,20800
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Indigo,2019-06-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Spicejet,2019-03-18,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,1965
Multiple Carriers,2019-06-01,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,9779
Jet Airways,2019-06-15,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,No Info,13044
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,8586
Indigo,2019-06-01,Mumbai,Hyderabad,09:15:00,10:45:00,90,0.0,No Info,4049
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,9719
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No Info,5678
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,6017
Goair,2019-04-01,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8529
Indigo,2019-05-06,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11432
Jet Airways,2019-06-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Air India,2019-03-01,Banglore,New Delhi,17:00:00,08:50:00,950,1.0,1 Long layover,10981
Air India,2019-03-06,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Indigo,2019-03-21,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6860
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,16079
Indigo,2019-03-03,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,5755
Indigo,2019-05-15,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,18:10:00,585,1.0,No Info,13759
Multiple Carriers,2019-06-01,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,11200
Air India,2019-06-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-05-09,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Indigo,2019-05-12,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,5276
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,No Info,13759
Air India,2019-04-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,9555
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,No Info,14714
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12898
Air India,2019-03-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,9064
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,15629
Spicejet,2019-06-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Goair,2019-05-18,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4340
Indigo,2019-06-15,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Multiple Carriers,2019-06-24,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Indigo,2019-03-21,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,5694
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2437
Indigo,2019-06-09,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Multiple Carriers,2019-03-06,Delhi,Cochin,08:55:00,15:30:00,395,1.0,No Info,15147
Air India,2019-06-12,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8603
Jet Airways,2019-06-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,11316
Jet Airways,2019-04-01,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,5406
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,In-flight meal not included,9314
Indigo,2019-06-01,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-03-21,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,7438
Air India,2019-05-24,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10413
Air India,2019-06-24,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,11185
Jet Airways,2019-04-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Air India,2019-05-18,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,16079
Vistara,2019-05-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Jet Airways,2019-06-01,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,7229
Indigo,2019-04-15,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,5912
Spicejet,2019-03-06,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,4622
Indigo,2019-06-01,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,No Info,14388
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,21:00:00,640,1.0,In-flight meal not included,6007
Multiple Carriers,2019-05-21,Delhi,Cochin,02:15:00,11:50:00,575,1.0,No Info,14067
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,In-flight meal not included,7832
Indigo,2019-05-27,Delhi,Cochin,16:10:00,22:30:00,380,1.0,No Info,6938
Multiple Carriers,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12717
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Goair,2019-05-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Vistara,2019-05-27,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Indigo,2019-05-12,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,7228
Multiple Carriers,2019-06-12,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Vistara,2019-04-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Indigo,2019-03-03,Delhi,Cochin,07:35:00,21:20:00,825,2.0,No Info,9413
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,04:25:00,1395,2.0,In-flight meal not included,9412
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13727
Air India,2019-05-18,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Indigo,2019-05-18,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,3943
Multiple Carriers,2019-06-01,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7038
Jet Airways,2019-05-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Multiple Carriers,2019-05-18,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,8309
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Spicejet,2019-04-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Indigo,2019-05-27,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,3419
Air India,2019-05-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7480
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No Info,5678
Air Asia,2019-05-27,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6752
Jet Airways,2019-06-01,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,15129
Indigo,2019-04-03,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3480
Indigo,2019-06-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7787
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,20:20:00,875,1.0,No Info,13817
Indigo,2019-05-01,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Vistara,2019-06-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,13014
Air India,2019-06-03,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Air India,2019-04-06,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,4437
Air India,2019-05-24,Kolkata,Banglore,09:25:00,11:10:00,1545,1.0,No Info,8891
Multiple Carriers,2019-06-09,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Air India,2019-05-27,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1.0,In-flight meal not included,10031
Air India,2019-05-27,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No Info,8372
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Indigo,2019-05-18,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6496
Indigo,2019-04-03,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,10844
Vistara,2019-03-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,9125
Air India,2019-06-24,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Multiple Carriers,2019-06-12,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,11789
Air Asia,2019-06-15,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Air Asia,2019-03-03,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,13474
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,18:50:00,1385,1.0,No Info,16289
Air India,2019-06-09,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,12744
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,12996
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,4284
Air India,2019-03-01,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,11528
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2.0,In-flight meal not included,8518
Air India,2019-05-15,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Indigo,2019-04-18,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,4591
Indigo,2019-03-03,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No Info,8258
Air India,2019-05-15,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Indigo,2019-03-09,Banglore,New Delhi,15:40:00,20:35:00,295,1.0,No Info,5226
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:05:00,1815,2.0,No Info,7664
Spicejet,2019-03-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3847
Air India,2019-05-18,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No Info,8366
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,13:20:00,780,1.0,No Info,29528
Jet Airways,2019-06-27,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Air India,2019-03-06,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,10566
Indigo,2019-05-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Indigo,2019-06-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Indigo,2019-03-06,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,7725
